cnpj,abreviado,nome,classificacao
46179008000168,BRASTERAPICA,BRASTERAPICA IND FARMACEUTICA LTDA,NAO_CONSIDERAR
82873068000573,GAM DIST.,GENESIO A MENDES & CIA LTDA,CIF
03551937000224,AMERICAN AL,AMERICAN FARMA DISTR FARMACEUTICA LTDA,FOB
49698723000103,MCASSAB,MCASSAB COMERCIO E INDUSTRIA LTDA,NAO_CONSIDERAR
04899316025293,IMIFARMA CE,IMIFARMA PRODUTOS FARMACEUTICOS E COSMETICOS SA,CIF
04656253000179,MARIOL,UNITHER INDUSTRIA FARMACEUTICA LTDA,NAO_CONSIDERAR
66715459000260,CENTROFLORA,ANIDRO DO BRASIL EXTRAÇÕES S.A. (GRUPO CENTROFLORA),CIF
16991148000175,FARMALOG,FARMALOG LOGISTICA DE PRDOUTOS DE HIGIENE LIMPEZA E MEDICAMENTOS LTDA,CIF
01129971000107,SAFIRA,SAFIRA COMÉRCIO E SERVIÇOS DE INFORMATICA LTDA,NAO_CONSIDERAR
64154461000100,NEW TECHNIC,NTA-NEW TECHNICAL ASSISTANCE SERVIÇO COMERCIO IMPORTACAO E EXPORTACAO LTDA.,NAO_CONSIDERAR
09408965000192,MULTILOG.,PRIMEINVEST EMPREENDIMENTOS IMOBILIARIOS S A,NAO_CONSIDERAR
00160488000203,LATINTEL,LATINTEL TELECOMUNICAÇÕES LTDA,NAO_CONSIDERAR
46179008000320,BRASTERAPIC,BRASTERAPICA IND FARMACEUTICA LTDA,NAO_CONSIDERAR
11016450000350,SRM,SRM INDUSTRIALIZAÇÃO LTDA - ME,NAO_CONSIDERAR
15103047018529,SANTANA,SANTANA SA DROGARIA FARMACIAS,CIF
45569555000197,CATALENT SOR,CATALENT BRASIL LTDA,NAO_CONSIDERAR
93209765023672,WM CDPINHAIS,WALMART BRASIL LTDA,CIF
93209765000621,WM CD P AL,WALMART BRASIL LTDA,CIF
45237724000191,J MOREIRA2,J MOREIRA COMERCIAL DE ALIMENTOS LTDA,CIF
94296175023425,MAIS ECON2,DROGARIA MAIS ECONOMICA S.A,CIF
25102146001493,IRMAOS MATTA,IRMAOS MATTAR & CIA LTDA,CIF
53502910000139,GRAMENSE,DISTR DE PROD FARM GRAMENSE LTDA,CIF
82641606000170,GRAFICA 43,43 S.A GRÁFICA E EDITORA,NAO_CONSIDERAR
61412110052384,DSP S OSASCO,DROGARIA SAO PAULO S.A,CIF
00680933000339,COOTRAVAL SP,COOPERATIVA DOS TRANSPORTADORES DO VALE - COOTRAVALE,NAO_CONSIDERAR
00680933000410,COOTRAVAL SC,COOPERATIVA DOS TRANSPORTADORES DO VALE - COOTRAVALE,NAO_CONSIDERAR
39346861045343,CENCOSUD,CENCOSUD BRASIL COMERCIAL LTDA,CIF
60664828004325,ATLAS SC,EMPRESA DE TRANSPORTES ATLAS LTDA,NAO_CONSIDERAR
45543915056489,CARREFOUR PE,CARREFOUR COMERCIO E INDUSTRIA LTDA,CIF
45543915027977,CARREFOUR DF,CARREFOUR COMERCIO E INDUSTRIA LTDA,CIF
45543915026733,CARREFOUR RJ,CARREFOUR COMERCIO E INDUSTRIA LTDA,CIF
45543915013089,CARREFOUR MG,CARREFOUR COMERCIO E INDUSTRIA LTDA,CIF
45543915005574,CARREFOUR RS,CARREFOUR COMERCIO E INDUSTRIA LTDA,CIF
45543915022827,CARREFOUR AM,CARREFOUR COMERCIO E INDUSTRIA LTDA,CIF
45543915007518,CARREFOUR SP,CARREFOUR COMERCIO E INDUSTRIA LTDA,CIF
07639029000167,TAC TRANSPOR,TAC TRANSPORTES E ARMAZÉNS GERAIS LTDA,NAO_CONSIDERAR
08299045000110,AMR FOMENTO,AMR FOMENTO MERCANTIL LTDA,NAO_CONSIDERAR
50935436002003,JUNDIAI LOG,EXPRESSO JUNDIAI LOGISTICA E TRANSPORTE LTDA,NAO_CONSIDERAR
11676923000265,FMAISPAR,FMAISPAR DIST E LOG DE PROD DE HIGIENE E LIMPEZA LTDA,CIF
45543915006384,CARREFOUR OS,CARREFOUR COMERCIO E INDUSTRIA LTDA,CIF
11030240000155,JKM,JKM TRANSPORTES LOGISTICA E ARMAZENAGEM LTDA,CIF
61549259005301,ONOFRE BARUE,DROGARIA ONOFRE LTDA,CIF
61381554000170,RAZZO,RAZZO LTDA,NAO_CONSIDERAR
22883829000112,BRASIL PORTO,RC LOGISTICA E TRANSPORTES LTDA,NAO_CONSIDERAR
01956134000143,NILO SC,NILO TOZZO DISTRIBUIDORA LTDA,CIF
61074662000109,HENRIFARMA,HENRIFARMA PRODUTOS QUÍMICOS E FARMACÊUTICOS,NAO_CONSIDERAR
78663788000960,MANN MATRIZ,TRANSPORTE MANN LTDA,NAO_CONSIDERAR
01956134000658,NILO FILIAL,NILO TOZZO & CIA LTDA,CIF
39346861000161,CENCOSUD II,CENCOSUD BRASIL COMERCIAL LTDA,CIF
58506155001741,MIRA,MIRA OTM TRANSPORTES LTDA,NAO_CONSIDERAR
58506155000184,MIRA SP,MIRA OTM TRANSPORTES LTDA,NAO_CONSIDERAR
10970887000102,FEDEX PE,FEDEX BRASIL LOGISTICA E TRANSPORTE LTDA,NAO_CONSIDERAR
60409075047035,NESTLE 1,NESTLE BRASIL LTDA,NAO_CONSIDERAR
05590025000106,LEMA,LEMA COMERCIO DE VEICULOS LTDA,NAO_CONSIDERAR
14211104000150,SERVFARMA,DROGARIA SERVIFARMA COM DE MEDICAMENTOS LTDA,CIF
39346861037910,CENCOSUD III,CENCOSUD BRASIL COMERCIAL LTDA,CIF
